Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
factors,baseline,0.002326,0.000141,baseline,N/A,N/A,N/A
factors,--lvn,0.002327,0.000146,1.00x,N/A,N/A,N/A
factors,--dce,0.002320,0.000133,1.00x,N/A,N/A,N/A
factors,--loops,0.002258,0.000144,1.03x,N/A,N/A,N/A
factors,--lvn_--dce,0.002366,0.000195,0.98x,N/A,N/A,N/A
factors,--lvn_--dce_--loops,0.002344,0.000140,0.99x,N/A,N/A,N/A
perfect,baseline,0.002386,0.000151,baseline,N/A,N/A,N/A
perfect,--lvn,0.002416,0.000161,0.99x,N/A,N/A,N/A
perfect,--dce,0.002369,0.000147,1.01x,N/A,N/A,N/A
perfect,--loops,0.002386,0.000159,1.00x,N/A,N/A,N/A
perfect,--lvn_--dce,0.002382,0.000157,1.00x,N/A,N/A,N/A
perfect,--lvn_--dce_--loops,0.002459,0.000160,0.97x,N/A,N/A,N/A
binpow,baseline,0.002389,0.000156,baseline,N/A,N/A,N/A
binpow,--lvn,0.002436,0.000153,0.98x,N/A,N/A,N/A
binpow,--dce,0.002399,0.000157,1.00x,N/A,N/A,N/A
binpow,--loops,0.002407,0.000156,0.99x,N/A,N/A,N/A
binpow,--lvn_--dce,0.002400,0.000159,1.00x,N/A,N/A,N/A
binpow,--lvn_--dce_--loops,0.002440,0.000891,0.98x,N/A,N/A,N/A
bitshift,baseline,0.002460,0.000155,baseline,N/A,N/A,N/A
bitshift,--lvn,0.002396,0.000134,1.03x,N/A,N/A,N/A
bitshift,--dce,0.002421,0.000143,1.02x,N/A,N/A,N/A
bitshift,--loops,0.002415,0.000146,1.02x,N/A,N/A,N/A
bitshift,--lvn_--dce,0.002376,0.000151,1.04x,N/A,N/A,N/A
bitshift,--lvn_--dce_--loops,0.002351,0.000137,1.05x,N/A,N/A,N/A
digital-root,baseline,0.002370,0.000154,baseline,N/A,N/A,N/A
digital-root,--lvn,0.002445,0.000156,0.97x,N/A,N/A,N/A
digital-root,--dce,0.002435,0.000158,0.97x,N/A,N/A,N/A
digital-root,--loops,0.002446,0.000153,0.97x,N/A,N/A,N/A
digital-root,--lvn_--dce,0.002418,0.000148,0.98x,N/A,N/A,N/A
digital-root,--lvn_--dce_--loops,0.002443,0.000157,0.97x,N/A,N/A,N/A
tail-call,baseline,0.002416,0.000108,baseline,N/A,N/A,N/A
tail-call,--lvn,0.002448,0.000113,0.99x,N/A,N/A,N/A
